session_date,ticker,fetched_at_utc,payload_timestamp,current_price,close,prev_day_close,open,high,low,volume,iv30,iv30_change,last_trade_time,seqno
2026-08-05,_SPX,2026-08-05T22:42:10Z,2026-08-05 22:41:47,7723.5498,7723.5498,7736.52,7771.6201,7793.6802,7720.1699,0,13.104,0.0,2026-08-05T16:14:59,28330300989
2026-08-07,SPXC,2026-08-07T01:04:22Z,2026-08-07 00:37:00,214.16,214.16,214.93,214.23,222.075,213.96,245164,41.789,-1.348,2026-08-06T15:59:56,38033869742
2026-08-06,MOD,2026-08-07T01:04:24Z,2026-08-06 11:51:21,195.65,194.61,194.61,197.39,207.75,194.53,1016145,81.269,0.611,2026-08-05T15:59:59,28806450561
2026-08-07,SPY,2026-08-07T01:04:25Z,2026-08-07 01:03:28,768.56,768.56,768.56,770.16,771.82,767.46,38384800,12.513,0.0,2026-08-06T15:59:59,38039133183
2026-08-07,_SPX,2026-08-07T01:04:28Z,2026-08-07 01:03:51,7709.96,7709.96,7709.96,7713.79,7742.8501,7698.1499,0,12.414,0.0,2026-08-06T16:14:59,38031988543
2026-08-07,MOD,2026-08-07T22:17:32Z,2026-08-07 11:21:06,194.41,192.52,192.52,192.0,200.75,190.95,919684,79.276,0.014,2026-08-06T15:59:59,38388953530
2026-08-10,SPXC,2026-08-10T22:19:06Z,2026-08-10 11:32:49,215.93,215.68,215.68,219.47,219.47,211.61,257641,39.638,0.714,2026-08-07T15:59:59,293726425
2026-08-10,MOD,2026-08-10T22:19:08Z,2026-08-10 11:30:51,199.54,195.6,195.6,195.41,197.71,189.5,1181979,77.034,-0.088,2026-08-07T15:59:58,304431771
2026-08-10,SPY,2026-08-10T22:19:10Z,2026-08-10 22:18:31,773.29,773.03,773.26,772.61,775.05,771.62,39134074,12.623,0.0,2026-08-10T15:59:59,8266204290
2026-08-10,_SPX,2026-08-10T22:19:12Z,2026-08-10 22:18:45,7753.1099,7753.1099,7757.6401,7751.7402,7773.7598,7743.1099,0,12.39,0.0,2026-08-10T16:14:59,8260038979
2026-08-11,SPXC,2026-08-11T22:23:35Z,2026-08-11 17:50:46,218.4,218.4,212.35,216.0,222.14,215.0,134382,38.517,-1.453,2026-08-11T13:35:06,13744332197
2026-08-11,MOD,2026-08-11T22:23:36Z,2026-08-11 16:35:52,200.5,200.5,191.01,194.83,204.32,193.5,395080,71.689,-3.166,2026-08-11T12:20:47,12600976456
2026-08-11,SPY,2026-08-11T22:23:38Z,2026-08-11 22:22:27,770.67,770.56,773.03,774.61,774.61,769.2,36417824,12.436,0.0,2026-08-11T16:00:00,16969571910
2026-08-11,_SPX,2026-08-11T22:23:41Z,2026-08-11 22:22:45,7728.2002,7728.2002,7753.1099,7767.5098,7767.5098,7717.25,0,12.353,0.0,2026-08-11T16:14:59,16947306680
2026-08-12,SPXC,2026-08-12T22:23:17Z,2026-08-12 20:29:44,218.18,218.18,216.79,220.0,221.94,216.12,326881,36.813,-1.342,2026-08-12T15:59:59,24122940535
2026-08-12,MOD,2026-08-12T22:23:18Z,2026-08-12 11:23:27,201.6707,198.32,198.32,194.83,204.32,193.5,1144593,69.462,0.003,2026-08-11T15:59:59,16416977902
2026-08-12,SPY,2026-08-12T22:23:20Z,2026-08-12 22:22:22,772.63,772.49,770.56,774.79,774.9,771.28,32912606,11.876,0.0,2026-08-12T15:59:59,26099103479
2026-08-12,_SPX,2026-08-12T22:23:23Z,2026-08-12 22:22:46,7748.5,7748.5,7728.2002,7765.46,7766.0098,7737.9502,0,11.857,0.0,2026-08-12T16:14:59,26079512492
2026-08-13,SPXC,2026-08-13T22:23:39Z,2026-08-13 11:24:59,218.18,218.18,218.18,220.0,221.94,216.12,385167,36.78,-0.033,2026-08-12T15:59:59,24455798127
2026-08-13,MOD,2026-08-13T22:23:41Z,2026-08-13 11:22:59,199.53,199.53,199.53,209.18,211.94,199.5,1248834,68.04,-0.031,2026-08-12T15:59:59,24452869054
2026-08-13,SPY,2026-08-13T22:23:42Z,2026-08-13 22:23:33,778.0509,777.88,772.49,774.93,779.37,774.111,35031176,11.912,0.0,2026-08-13T16:00:00,35760439726
2026-08-13,_SPX,2026-08-13T22:23:45Z,2026-08-13 22:23:24,7798.9902,7798.9902,7748.5,7763.1802,7816.7002,7763.1802,0,11.771,0.0,2026-08-13T16:14:59,35743474110
2026-08-14,SPXC,2026-08-14T21:57:59Z,2026-08-14 14:40:24,215.838,215.838,212.16,211.65,217.15,211.5,42283,38.19,-0.12,2026-08-14T10:23:42,34620485620
2026-08-14,MOD,2026-08-14T21:58:00Z,2026-08-14 18:19:26,208.4,208.4,203.51,201.74,208.825,200.58,412257,66.279,-0.891,2026-08-14T14:04:22,38398410739
2026-08-14,SPY,2026-08-14T21:58:02Z,2026-08-14 21:57:35,775.96,776.34,777.88,778.5,778.8,775.4301,31132201,11.543,0.0,2026-08-14T15:59:59,44639099664
2026-08-14,_SPX,2026-08-14T21:58:05Z,2026-08-14 21:57:44,7785.7598,7785.7598,7798.9902,7806.6001,7810.0098,7776.3101,0,11.258,0.0,2026-08-14T16:14:59,44627709193
2026-08-17,SPXC,2026-08-17T21:58:34Z,2026-08-17 16:21:56,218.05,218.05,217.32,218.14,219.815,216.54,71395,35.263,-1.295,2026-08-17T12:06:14,3910639636
2026-08-17,MOD,2026-08-17T21:58:36Z,2026-08-17 19:52:33,218.77,218.77,209.5,210.5,219.9799,210.5,1154343,67.347,1.838,2026-08-17T15:37:23,7126385112
2026-08-17,SPY,2026-08-17T21:58:38Z,2026-08-17 21:57:31,772.46,772.67,776.34,776.27,776.775,772.51,33288834,12.075,0.0,2026-08-17T15:59:59,8991944885
2026-08-17,_SPX,2026-08-17T21:58:41Z,2026-08-17 21:57:44,7745.0601,7745.0601,7785.7598,7790.6802,7790.6802,7744.8799,0,12.091,0.0,2026-08-17T16:14:59,8986128815
2026-08-18,SPXC,2026-08-18T21:57:05Z,2026-08-18 21:41:47,212.66,212.66,217.63,214.87,215.29,208.95,432970,36.031,-0.069,2026-08-18T15:59:58,16747560580
2026-08-18,MOD,2026-08-18T21:57:07Z,2026-08-18 11:13:38,219.5739,216.75,216.75,210.5,219.9799,210.5,1630328,67.416,-0.18,2026-08-17T15:59:59,8250924144
2026-08-18,SPY,2026-08-18T21:57:08Z,2026-08-18 21:56:25,767.24,767.45,772.67,768.84,769.5,766.92,43245510,12.715,0.0,2026-08-18T16:00:00,20297348114
2026-08-18,_SPX,2026-08-18T21:57:11Z,2026-08-18 21:56:44,7691.7598,7691.7598,7745.0601,7700.04,7713.9502,7688.6299,0,12.614,0.0,2026-08-18T16:14:59,20282295272
2026-08-19,SPXC,2026-08-19T21:59:21Z,2026-08-19 13:16:15,212.66,212.66,212.66,214.87,215.29,208.95,432971,35.931,-0.1,2026-08-18T15:59:58,17516492457
2026-08-19,MOD,2026-08-19T21:59:23Z,2026-08-19 18:26:47,192.86,192.86,200.66,200.49,202.06,188.03,735444,69.346,-0.635,2026-08-19T14:11:46,24201949974
2026-08-19,SPY,2026-08-19T21:59:25Z,2026-08-19 21:58:22,769.06,769.06,767.45,770.37,772.47,768.1,39877119,12.061,0.0,2026-08-19T15:59:59,32695965771
2026-08-19,_SPX,2026-08-19T21:59:27Z,2026-08-19 21:58:45,7707.98,7707.98,7691.7598,7716.7402,7743.9302,7700.0698,0,12.011,0.0,2026-08-19T16:14:59,32677980838
2026-08-20,SPXC,2026-08-20T21:59:59Z,2026-08-20 19:16:09,204.45,204.45,207.86,206.2,208.5378,204.14,139184,35.257,-1.609,2026-08-20T14:59:46,34307730876
2026-08-20,MOD,2026-08-20T22:00:01Z,2026-08-20 14:01:12,193.92,193.92,195.14,192.03,195.97,191.91,28746,69.978,0.739,2026-08-20T09:45:16,27877413534
2026-08-20,SPY,2026-08-20T22:00:02Z,2026-08-20 21:59:21,763.16,762.6,769.06,765.99,768.15,762.04,44714725,12.887,0.0,2026-08-20T16:00:00,44308214681
2026-08-20,_SPX,2026-08-20T22:00:05Z,2026-08-20 21:59:43,7641.1602,7641.1602,7707.98,7690.4902,7699.96,7639.0098,0,12.723,0.0,2026-08-20T16:14:59,44305785112
2026-08-21,SPXC,2026-08-21T21:58:35Z,2026-08-21 18:55:35,206.87,206.87,204.48,207.2,209.14,203.515,178439,35.318,0.307,2026-08-21T14:37:48,42473428350
2026-08-21,MOD,2026-08-21T21:58:37Z,2026-08-21 15:42:49,195.74,195.74,190.74,205.5,206.0,193.76,821087,67.959,-0.416,2026-08-21T11:26:45,39336488399
2026-08-21,SPY,2026-08-21T21:58:38Z,2026-08-21 21:57:33,766.1,765.72,762.6,765.97,767.85,764.17,38673676,12.213,0.0,2026-08-21T16:00:00,54115091111
